, Actual 10 m,Predicted 10 m,Error at 10 m , Actual25 m,Predicted 25 m,Error at 25 m , Actual 50 m,Predicted 50 m,Error at 50 m , Actual 80 m,Predicted 80 m,Error at 80 m 
11/24/2011 13:00,41.35,895.1578,-854.3577758789063,40.17556390977444,882.31006,-841.51005859375,37.991891891891896,828.42664,-787.6266357421875,40.8,886.7772,-845.9772216796875
11/24/2011 14:00,41.35,894.8408,-854.0408203125,40.17556390977444,882.45764,-841.6576416015625,37.991891891891896,828.45715,-787.6571533203125,40.8,886.70795,-845.9079467773438
11/24/2011 15:00,41.35,895.3723,-854.572314453125,40.17556390977444,882.3364,-841.53642578125,37.991891891891896,828.9138,-788.113818359375,40.8,886.7402,-845.9401733398438
11/24/2011 16:00,40.8968085106383,895.5437,-854.743701171875,39.69511278195489,881.8741,-841.0740844726563,37.991891891891896,828.88025,-788.0802490234375,40.8,886.6456,-845.8456298828125
11/24/2011 17:00,40.8968085106383,888.7952,-848.5952270507812,39.21466165413534,875.37976,-835.1797607421875,36.84054054054055,828.1144,-787.9143798828125,40.2,886.76086,-846.5608642578125
11/24/2011 18:00,40.8968085106383,886.74005,-846.5400512695312,39.21466165413534,866.7346,-826.534619140625,36.84054054054055,810.49835,-770.2983520507812,40.2,879.83826,-839.6382568359375
11/24/2011 19:00,40.8968085106383,886.7744,-846.5744140625,39.21466165413534,864.5189,-824.3189208984375,36.84054054054055,805.41266,-765.2126586914062,40.2,876.90155,-836.7015502929687
11/24/2011 20:00,40.8968085106383,887.157,-846.956982421875,39.21466165413534,864.8924,-824.6923950195312,36.84054054054055,803.82733,-763.6273315429687,40.2,876.2616,-836.0615966796875
11/24/2011 21:00,40.443617021276594,886.94794,-846.7479370117187,39.21466165413534,865.34454,-825.1445434570312,36.84054054054055,803.7388,-763.53876953125,40.2,875.96686,-835.7668579101562
11/24/2011 22:00,40.8968085106383,879.83844,-839.6384399414062,39.21466165413534,865.71484,-825.51484375,36.84054054054055,804.3999,-764.19990234375,40.2,875.8027,-835.6026733398437
11/24/2011 23:00,40.8968085106383,884.4557,-844.2556884765625,39.21466165413534,865.7219,-825.521923828125,36.84054054054055,804.87787,-764.6778686523437,40.2,875.7767,-835.5766723632812
11/25/2011 0:00,40.8968085106383,886.7606,-846.5606201171875,39.21466165413534,865.48914,-825.2891357421875,36.84054054054055,804.6758,-764.47578125,40.2,875.8787,-835.6787231445312
11/25/2011 1:00,40.8968085106383,886.94403,-846.7440307617187,39.69511278195489,865.1876,-824.9876220703125,36.84054054054055,804.4959,-764.2959106445312,40.2,875.8806,-835.680615234375
11/25/2011 2:00,40.8968085106383,886.4952,-846.2951782226562,39.69511278195489,871.18176,-830.9817626953125,37.991891891891896,804.4134,-764.2133911132812,40.2,875.2069,-835.0069091796875
11/25/2011 3:00,40.8968085106383,886.3076,-846.1076171875,39.69511278195489,872.3304,-832.1303833007812,37.991891891891896,821.25214,-781.0521362304687,40.2,875.03735,-834.837353515625
11/25/2011 4:00,40.8968085106383,886.4426,-846.242626953125,39.69511278195489,872.08185,-831.8818481445312,37.991891891891896,827.26965,-787.0696533203125,40.2,874.84644,-834.646435546875
11/25/2011 5:00,40.8968085106383,886.72424,-846.5242431640625,39.69511278195489,871.784,-831.5839965820312,37.991891891891896,828.7863,-788.5863159179687,40.2,874.9122,-834.7121704101562
11/25/2011 6:00,40.8968085106383,886.6795,-846.4795043945312,39.69511278195489,871.8456,-831.6455810546875,37.991891891891896,829.03644,-788.8364379882812,40.2,874.89124,-834.6912353515625
11/25/2011 7:00,40.8968085106383,886.738,-846.5379760742187,39.69511278195489,872.113,-831.9129760742187,37.991891891891896,828.90405,-788.704052734375,40.2,874.99963,-834.7996337890625
11/25/2011 8:00,40.8968085106383,886.64655,-846.4465454101562,39.69511278195489,872.0892,-831.8891723632812,37.991891891891896,828.5231,-788.3230712890625,40.2,874.9025,-834.7025268554687
11/25/2011 9:00,40.8968085106383,886.54694,-846.3469360351562,39.69511278195489,872.34503,-832.1450317382812,37.991891891891896,828.80865,-788.6086547851562,40.2,874.9333,-834.7332885742187
11/25/2011 10:00,40.8968085106383,886.3466,-846.1466186523437,39.69511278195489,872.7181,-832.5180786132812,37.991891891891896,828.78644,-788.5864379882812,40.2,874.90375,-834.7037475585937
11/25/2011 11:00,40.8968085106383,886.5594,-846.3593872070312,39.69511278195489,872.8228,-832.6228149414062,37.991891891891896,828.2209,-788.0208862304687,40.2,874.6733,-834.4732788085937
11/25/2011 12:00,40.8968085106383,886.9224,-846.7224243164062,39.69511278195489,872.83386,-832.6338623046875,37.991891891891896,828.466,-788.2660034179687,40.2,874.6999,-834.4998901367187
11/25/2011 13:00,40.8968085106383,886.6211,-846.42109375,39.69511278195489,872.7171,-832.5171020507812,37.991891891891896,829.101,-788.9010131835937,40.2,874.8453,-834.6452758789062
11/25/2011 14:00,40.8968085106383,886.5102,-846.3101928710937,39.69511278195489,872.57666,-832.37666015625,37.991891891891896,829.0775,-788.8775146484375,40.2,874.89636,-834.6963623046875
11/25/2011 15:00,40.443617021276594,886.31415,-846.1141479492187,39.21466165413534,872.2705,-832.0705078125,36.84054054054055,828.3009,-788.1009033203125,40.2,874.5966,-834.3966186523437
11/25/2011 16:00,39.990425531914894,880.4544,-840.8544067382812,39.21466165413534,865.72955,-826.1295532226562,35.68918918918919,810.4731,-770.8730834960937,39.6,874.48914,-834.8891357421875
11/25/2011 17:00,39.990425531914894,871.6093,-832.0093139648437,38.81428571428572,864.68866,-825.0886596679687,35.68918918918919,786.2619,-746.6619018554687,39.6,867.68176,-828.0817626953125
11/25/2011 18:00,39.990425531914894,869.17126,-829.5712646484375,38.81428571428572,858.3177,-818.7176879882812,35.68918918918919,777.3499,-737.7499145507812,39.6,864.5866,-824.9866088867187
11/25/2011 19:00,39.990425531914894,868.86926,-829.2692626953125,38.81428571428572,856.9729,-817.372900390625,35.68918918918919,776.31195,-736.7119506835937,39.6,863.70636,-824.1063598632812
11/25/2011 20:00,39.990425531914894,869.061,-829.4609741210937,38.81428571428572,857.07904,-817.4790405273437,35.68918918918919,778.36566,-738.7656616210937,39.6,863.47577,-823.8757690429687
11/25/2011 21:00,39.990425531914894,869.567,-829.9670166015625,38.81428571428572,857.38385,-817.7838500976562,35.68918918918919,779.8536,-740.2535766601562,39.6,863.5214,-823.9214233398437
11/25/2011 22:00,39.990425531914894,868.9827,-829.3827270507812,38.81428571428572,857.6311,-818.031103515625,35.68918918918919,779.7144,-740.1144165039062,39.6,863.5869,-823.9869140625
11/25/2011 23:00,39.990425531914894,868.83954,-829.2395385742187,38.81428571428572,857.4631,-817.8630737304687,35.68918918918919,779.6013,-740.001318359375,39.6,863.4063,-823.8063110351562
11/26/2011 0:00,39.990425531914894,868.89435,-829.2943481445312,38.81428571428572,857.3047,-817.7046875,35.68918918918919,780.3673,-740.7673095703125,39.6,863.3037,-823.7037109375
11/26/2011 1:00,40.443617021276594,868.8075,-828.6074951171875,39.21466165413534,856.3983,-816.1983154296875,36.84054054054055,780.4015,-740.2014892578125,40.2,863.16864,-822.9686401367187
11/26/2011 2:00,40.443617021276594,875.43335,-835.233349609375,39.21466165413534,861.74255,-821.5425537109375,36.84054054054055,796.4236,-756.223583984375,40.2,870.3554,-830.1554077148437
11/26/2011 3:00,40.443617021276594,877.4821,-837.2821166992187,39.21466165413534,862.80066,-822.6006591796875,36.84054054054055,802.8015,-762.601513671875,40.2,873.0711,-832.8711059570312
11/26/2011 4:00,40.443617021276594,877.6347,-837.4347045898437,39.21466165413534,862.77936,-822.5793579101562,36.84054054054055,804.28125,-764.08125,40.2,873.9794,-833.7793701171875
11/26/2011 5:00,39.990425531914894,877.67456,-837.474560546875,39.21466165413534,862.74817,-822.5481689453125,36.84054054054055,804.7179,-764.5178955078125,40.2,874.2166,-834.0166137695312
11/26/2011 6:00,39.990425531914894,870.9912,-830.7912109375,39.21466165413534,862.5822,-822.3822143554687,36.84054054054055,804.3635,-764.163525390625,40.2,874.3402,-834.1402099609375
11/26/2011 7:00,39.990425531914894,868.905,-828.705029296875,39.21466165413534,862.72906,-822.5290649414062,36.84054054054055,803.9264,-763.7263916015625,40.2,874.22266,-834.02265625
11/26/2011 8:00,39.990425531914894,868.69244,-828.4924438476562,39.21466165413534,862.9201,-822.7201049804687,36.84054054054055,803.8984,-763.6983764648437,40.2,874.44147,-834.2414672851562
11/26/2011 9:00,39.990425531914894,868.27515,-828.075146484375,39.21466165413534,863.03357,-822.8335693359375,36.84054054054055,802.96576,-762.7657592773437,40.2,874.5088,-834.3087890625
11/26/2011 10:00,39.990425531914894,868.3421,-828.1421020507812,39.21466165413534,863.1828,-822.9828002929687,36.84054054054055,802.20465,-762.0046508789062,40.2,874.4313,-834.2312744140625
11/26/2011 11:00,39.990425531914894,868.8616,-828.661572265625,39.21466165413534,863.15,-822.9500244140625,36.84054054054055,802.9155,-762.71552734375,40.2,874.62286,-834.4228637695312
11/26/2011 12:00,39.990425531914894,868.8942,-828.6942260742187,39.21466165413534,863.191,-822.9909790039062,36.84054054054055,803.42706,-763.2270629882812,40.2,874.9579,-834.7578857421875
11/26/2011 13:00,39.990425531914894,868.7667,-828.5667236328125,39.21466165413534,863.14557,-822.9455688476562,36.84054054054055,802.5086,-762.3086059570312,40.2,874.9514,-834.751416015625
11/26/2011 14:00,39.990425531914894,868.4939,-828.293896484375,39.21466165413534,862.95447,-822.7544677734375,36.84054054054055,801.4026,-761.202587890625,40.2,874.6736,-834.473583984375
11/26/2011 15:00,39.990425531914894,868.7009,-828.500927734375,39.21466165413534,863.3303,-823.130322265625,36.84054054054055,802.7107,-762.510693359375,40.2,874.45703,-834.25703125
11/26/2011 16:00,39.537234042553195,868.90796,-829.307958984375,38.81428571428572,863.28094,-823.6809448242187,35.68918918918919,804.5143,-764.9142822265625,39.6,875.0764,-835.476416015625
11/26/2011 17:00,39.537234042553195,862.25745,-822.6574462890625,38.41390977443609,857.8936,-818.2936157226562,35.68918918918919,786.2183,-746.6183227539062,39.6,867.73663,-828.1366333007812
11/26/2011 18:00,39.537234042553195,860.3036,-820.7035888671875,38.41390977443609,850.35016,-810.7501586914062,35.68918918918919,779.5449,-739.944921875,39.6,864.70544,-825.1054443359375
11/26/2011 19:00,39.537234042553195,860.44696,-820.8469604492187,38.41390977443609,848.6232,-809.0232299804687,35.68918918918919,779.1423,-739.5422729492187,39.6,864.113,-824.5129760742187
